GS_ID_A,GS_ID_B,overlap,szymkiewicz_simpson,jaccard,npmi,size_a,size_b,union,composite
GEX039983,GEX066646,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX056386,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX103713,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX095543,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX039983,GEX105618,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX107095,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX039983,GEX053345,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX039983,GEX054769,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX054287,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX057642,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX096578,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX110926,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX071776,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX053992,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX112623,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX087011,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX058890,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX056517,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX052006,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX044888,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX066004,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX073521,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX071911,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX039983,GEX049915,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX110664,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX114416,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX065574,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX096008,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX066938,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX065394,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX054493,5,1.0,0.29411766,0.8701822,5,17,17,0.85882354
GEX039983,GEX105891,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX078795,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX112685,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX078561,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX080414,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX119631,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX096449,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX099362,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX039983,GEX068353,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX083388,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX047513,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX065817,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX083976,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX039983,GEX092300,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX080930,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX122808,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX119455,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX039983,GEX099517,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX122998,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX083684,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
